e1,e2,sim,label,annotated
nonsteroidal antiinflammatory agents,nonsteroidal anti-inflammatory agents,99,1,manually
nonsteroidal antiinflammatory drug,nonsteroidal anti-inflammatory drug,99,1,manually
angiotensin converting enzyme (ace) inhibitors,angiotensin- converting enzyme (ace) inhibitors,99,1,manually
angiotensin-converting enzyme (ace) inhibitors,angiotensin- converting enzyme (ace) inhibitors,99,1,manually
nonsteroidal antiinflammatory drug,nonsteroidal anti inflammatory drug,99,1,manually
nonsteroidal anti-inflammatory drug,non-steroidal anti-inflammatory drug,99,1,manually
angiotensln converting enzyme inhibitors,angiotensin converting enzyme inhibitors,98,1,manually
nondepolarizing muscle relaxants,non-depolarizing muscle relaxants,98,1,manually
nonsteroidal antiinflammatory,nonsteroidal anti-inflammatory,98,1,manually
nonsteroidal anti-inflammatory,non-steroidal anti-inflammatory,98,1,manually
h2 receptor antagonists,h 2 receptor antagonists,98,1,manually
short-acting  beta2-agonists,short-acting beta2-agonists,98,1,manually
potassium-sparing diuretics,potassium- sparing diuretics,98,1,manually
h 2 receptor antagonists,h 2 -receptor antagonists,98,1,manually
potassium- sparing diuretics,potassium sparing diuretics,98,1,manually
angiotensin converting enzyme (ace) inhibitors,angiotensin-converting enzyme (ace) inhibitors,98,1,manually
beta adrenergic blocking agents,beta adrenergic-blocking agents,97,1,manually
cholestyramine,cholestryramine,97,1,manually
aluminum hydroxide,aluminum hydoxide,97,1,drugbank_syn
nonsteroidal antiinflammatory drug,non-steroidal antiinflammatory drugs,97,1,manually
5ht3 antagonists,5-ht3 antagonists,97,1,manually
nonsteroidal antiinflammatory,non-steroidal anti-inflammatory,97,1,manually
nonsteroidal antiinflammatory drug,non-steroidal anti-inflammatory drug,97,1,manually
nonsteroidal anti-inflammatory drug,nonsteroidal anti inflammatory drug,97,1,manually
nonsteroidal anti-inflammatory agents,non-steroidal anti-inflammatory agent,97,1,manually
bishydroxy-coumarin,bishydroxycoumarin,97,1,pubmed_synonyms
